update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,1043.8468335716336,1,0.0,0.0,0,0,0.0,0.0,0,0,1.9435901492834091,0.0773036228492856,0.013385869096964598,0.00018869455561798532,0.005711834,0.0,0.0,0,0
2,4096,1504.5691945957005,3,0.0,0.0,0,0,0.0,0.0,0,0,1.944302961230278,0.054616125766187906,0.009636840200982988,5.3010879128123634e-05,0.0022329492,0.0,0.0,0,0
3,6144,1514.155539330798,4,0.0,0.0,0,0,0.0,0.0,0,0,1.944663554430008,0.04390957532450557,0.007907254446763545,2.820929739755229e-05,0.0032702624,0.0,0.0,0,0
4,8192,1496.6643804755422,6,0.0,0.0,0,0,0.0,0.0,0,0,1.9448089450597763,0.035220242105424404,0.005910395528189838,1.8911095139628742e-05,0.0018755726,0.0,0.0,0,0
5,10240,1480.5925573027293,7,0.0,0.0,0,0,0.0,0.0,0,0,1.9451279193162918,0.029562034411355853,0.005062437790911645,1.6978146049950738e-05,0.0013104838,0.0,0.0,0,0
6,12288,1474.4132583545286,8,0.0,0.0,0,0,0.0,0.0,0,0,1.9455459415912628,0.024865850573405623,0.004007405921583995,1.4197819382388843e-05,0.0014663136,0.0,0.0,0,0
7,14336,1496.672203640966,10,0.0,0.0,0,0,0.0,0.0,0,0,1.9453726708889008,0.019884740700945258,0.0036662367929238826,1.092315255846188e-05,0.00068843324,0.0,0.0,0,0
8,16384,1476.7424347318713,11,0.0,0.0,0,0,0.0,0.0,0,0,1.9455390274524689,0.01554500637575984,0.0029322661575861275,8.61162948240235e-06,0.0011973018,0.0,0.0,0,0
9,18432,1504.430325693256,12,0.0,0.0,0,0,0.0,0.0,0,0,1.94569930434227,0.012596804066561162,0.00224088245886378,8.427717034464877e-06,0.0013356935,0.0,0.0,0,0
10,20480,1455.3111199322725,14,0.0,0.0,0,0,0.0,0.0,0,0,1.945738136768341,0.008350680058356375,0.0015159552422119305,5.809436231629661e-06,0.00089620985,0.0,0.0,0,0
11,22528,1465.0366248300868,15,0.0,0.0,0,0,0.0,0.0,0,0,1.9457675516605377,0.0063596663530915976,0.0011479850654723123,5.185039015032089e-06,0.00047487812,0.0,0.0,0,0
12,24576,1473.412521769021,17,0.0,0.0,0,0,0.0,0.0,0,0,1.9457973688840866,0.005001980229280889,0.0009548505549901165,4.514577057079805e-06,0.0004991994,0.0,0.0,0,0
13,26624,1473.0206399371689,18,0.0,0.0,0,0,0.0,0.0,0,0,1.9457832127809525,0.003785379318287596,0.0007456365201505832,5.9064964830213285e-06,0.00050920853,0.0,0.0,0,0
14,28672,1483.1120921863915,19,0.0,0.0,0,0,0.0,0.0,0,0,1.9457771182060242,0.0030295492033474147,0.0005115581916470546,3.4896256408956106e-06,0.0003189413,0.0,0.0,0,0
15,30720,1470.2176130330392,21,0.0,0.0,0,0,0.0,0.0,0,0,1.9457954913377762,0.002345957880606875,0.00028969540744583355,4.1107155652753136e-06,0.00031894783,0.0,0.0,0,0
16,32768,1475.126514441839,22,0.0,0.0,0,0,0.0,0.0,0,0,1.9457951486110687,0.0022292877838481218,0.0004610037067322992,3.850867955179638e-06,0.00039070833,0.0,0.0,0,0
17,34816,1479.7845238167017,24,0.0,0.0,0,0,0.0,0.0,0,0,1.9458226412534714,0.0019031017000088468,0.00040931761759566143,3.721994431771236e-06,0.00048784376,0.0,0.0,0,0
18,36864,1460.8538512584357,25,0.0,0.0,0,0,0.0,0.0,0,0,1.9458014518022537,0.0012325273637543432,0.00033003910903062206,3.28605673871607e-06,0.00039843319,0.0,0.0,0,0
19,38912,1485.4233881433952,26,0.0,0.0,0,0,0.0,0.0,0,0,1.9458334743976593,0.0008871451937011443,0.00019012646566807234,3.1311896009356133e-06,0.0003775572,0.0,0.0,0,0
20,40960,1463.2796779738107,28,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.945807084441185,0.0007716700129094534,0.00031378255880554207,2.864770038968345e-06,0.00027153819,0.0,0.0,0.0,0.0
21,43008,1474.8261386508518,29,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458186626434326,0.0006452497509599198,0.0003123223086731741,2.8907135458666744e-06,0.00029698468,0.0,0.0,0.0,0.0
22,45056,1467.8816157278818,31,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.945786252617836,6.667862635367783e-05,-0.00011437666989877471,2.7493051675264724e-06,0.00032927413,0.0,0.0,0.0,0.0
23,47104,1463.855212540103,32,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9457940012216568,-0.00014805052705924027,4.874644611163603e-05,2.6603136973335495e-06,0.00048961537,0.0,0.0,0.0,0.0
24,49152,1478.4883627105528,33,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458264410495758,-0.000851179167511873,-0.0002904584471252747,2.884277819248382e-06,0.000313891,0.0,0.0,0.0,0.0
25,51200,1475.2222754420677,35,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9457963109016418,-0.0011617784475674853,-7.468864828297228e-05,2.4258105497665383e-06,0.0003046609,0.0,0.0,0.0,0.0
26,53248,1481.761531521741,36,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005,2446.6875,438.8574254171279,747.0,2560.0,1.9358292371034622,0.0032305483618984,-0.006838595902081579,0.002000184773351066,0.007798471,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005
27,55296,1468.4140856685112,38,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005,2446.6875,438.8574254171279,747.0,2560.0,1.9430713057518005,0.01881734631024301,0.003143811773043126,5.623672223009635e-05,0.0029700845,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005
28,57344,1464.8524967569215,39,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005,2446.6875,438.8574254171279,747.0,2560.0,1.9452838003635406,0.014895954984240234,0.0027159352030139416,1.308808919020521e-05,0.001424867,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005
29,59392,1469.8191290801908,40,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005,2446.6875,438.8574254171279,747.0,2560.0,1.945696860551834,0.010240289731882513,0.001712967932689935,7.719879249634687e-06,0.0006517448,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005
30,61440,1476.5898717196335,42,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005,2446.6875,438.8574254171279,747.0,2560.0,1.945719763636589,0.00844961660914123,0.00129284591821488,5.613327516584832e-06,0.00053272245,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005
31,63488,1475.1356340014656,43,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005,2446.6875,438.8574254171279,747.0,2560.0,1.9457053691148758,0.006501457537524402,0.00112487243313808,3.2850505817805242e-06,0.0005355287,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005
